"freq","class","sub_class","name","tooltip","alias","ignore"
5898,"COUNTRY",NA,"UK","UK","\b(UK|GB)\b|Britain|British|United Kingdom|Great Britain|England",FALSE
3599,"COUNTRY",NA,"Germany","Germany","Germany|German|Deutsch",FALSE
3058,"COUNTRY",NA,"USA","USA","United States|U\.S\.|US\.|US|America|American|\bUSA\b",FALSE
2167,"COUNTRY",NA,"Scotland","Scotland","Scotland|Scottish( (G|g)vernment)?",FALSE
1825,"COUNTRY",NA,"Denmark","Denmark","Denmark|Danish",FALSE
1812,"COUNTRY",NA,"Netherlands","Netherlands","Netherlands|Dutch|Holland",FALSE
1229,"COUNTRY",NA,"China","China","China|Chinese",FALSE
937,"COUNTRY",NA,"France","France","France|French",FALSE
807,"COUNTRY",NA,"Taiwan","Taiwan","Taiwan(ese)?",FALSE
795,"COUNTRY",NA,"Norway","Norway","Norway|Norwegian",FALSE
671,"COUNTRY",NA,"Ireland","Ireland","Ireland|Irish",FALSE
586,"COUNTRY",NA,"Japan","Japan","Japan|Japanese",FALSE
431,"COUNTRY",NA,"Wales","Wales","Wales|Welsh",FALSE
399,"COUNTRY",NA,"Belgium","Belgium","Belgium",FALSE
336,"COUNTRY",NA,"Spain","Spain","Spain|Spanish",FALSE
321,"COUNTRY",NA,"Canada","Canada","Canada|Canadian",FALSE
307,"COUNTRY",NA,"Sweden","Sweden","Sweden|Swedish",FALSE
298,"COUNTRY",NA,"India","India","India",FALSE
252,"COUNTRY",NA,"Korea","Korea","(South )?Korea",FALSE
232,"COUNTRY",NA,"Australia","Australia","Australia|Australian",FALSE
144,"COUNTRY",NA,"Singapore","Singapore","Singapore",FALSE
64,"COUNTRY",NA,"Vietnam","Vietnam","Vietnam",FALSE
34,"COUNTRY",NA,"Indonesia","Indonesia","Indonesia",FALSE
28,"COUNTRY",NA,"Hong Kong","Hong Kong","Hong Kong",FALSE
25,"COUNTRY",NA,"Philippines","Philippines","Philippines",FALSE
19,"COUNTRY",NA,"Thailand","Thailand","Thailand",FALSE
547,"FARM",NA,"Hornsea Project One","Hornsea Windfarm","Hornsea( Project One)?",FALSE
426,"FARM",NA,"Walney Extension","Walney Extension Windfarm","Walney( Extension)?",FALSE
425,"FARM",NA,"Norther","Norther Windfarm","Norther",FALSE
401,"FARM",NA,"Beatrice","Beatrice Windfarm","Beatrice( Offshore)? Wind ?(F|f)arm( L(td|imited))?|Beatrice|\bBOWL\b",FALSE
385,"FARM",NA,"Borssele","Borssele Windfarm","Borssele",FALSE
335,"FARM",NA,"Kriegers Flak","Kriegers Flak Windfarm","Kriegers Flak|\bKFE\b|\bKFB\b",FALSE
316,"FARM",NA,"Dudgeon","Dudgeon Windfarm","Dudgeon",FALSE
293,"FARM",NA,"Borkum Riffgrund","Borkum Riffgrund Windfarm","Borkum Riffgrund",FALSE
